age,male,female
0,371576,351305
1,386072,366482
2,398693,378616
3,411883,390451
4,411576,390609
5,414890,394262
6,423939,403210
7,436175,415884
8,429626,409054
9,420942,401870
10,416804,396970
11,420435,399834
12,407426,385979
13,398281,379568
14,383486,365083
15,377844,359011
16,368405,348651
17,364437,344045
18,375939,357128
19,392588,368920
20,409863,387384
21,417910,393313
22,432740,409461
23,438189,412222
24,436369,415629
25,450326,429080
26,448552,434064
27,459046,452160
28,471462,457517
29,462714,449328
30,453849,449593
31,454817,457183
32,439802,449885
33,447789,448939
34,446085,449190
35,432076,440577
36,434413,444657
37,432853,444596
38,437060,446110
39,437482,445843
40,421790,426330
41,393363,397316
42,387840,390974
43,393401,400508
44,400472,407545
45,406788,415287
46,424886,433425
47,442944,452121
48,453979,470086
49,443759,458847
50,454492,470262
51,454552,470114
52,462402,473887
53,458869,475466
54,462400,478571
55,457484,473299
56,447432,462252
57,437699,450432
58,421755,435024
59,403136,417395
60,393200,408020
61,384208,398521
62,368698,383517
63,354603,369044
64,339429,355945
65,337661,356713
66,331841,350470
67,319092,340599
68,319137,342114
69,322371,348201
70,329074,354458
71,342943,371986
72,368417,399606
73,280126,308119
74,267180,296958
75,262739,293434
76,238533,272986
77,208283,243226
78,182487,217590
79,184443,221575
80,177139,216466
81,166187,206425
82,150863,193241
83,136325,179876
84,122828,165978
85,106041,149501
86,93770,136897
87,83112,126965
88,71405,114758
89,58821,100820
90,193416,411765
