AgeM,Male
48.98453175,183.30227
50.45865168,184.2394409
51.93277162,185.9026413
53.40689156,186.1137826
54.88101149,186.7282736
56.35513143,187.9881243
57.82925136,188.0379256
59.3033713,187.2003575
60.77749123,186.3627893
62.25161117,186.4125907
63.72573111,186.462392
65.19985104,186.5121934
66.67397098,186.5619947
68.14809091,188.8705548
69.62221085,192.8731839
71.09633079,197.0371529
72.57045072,202.5725111
74.04457066,213.1094065
75.51869059,224.0496516
76.99281053,235.6352564
78.33291956,253.7057834
79.53901769,272.5784826
80.74511582,291.2539885
81.95121395,310.5210741
83.02330118,332.0090987
83.9613775,352.8305901
84.89945382,373.5253144
85.83753015,393.9665045
86.70860102,413.3701665
87.44566099,432.8876171
88.1157155,455.4494392
88.78577002,478.1887353
89.38881908,498.5742385
89.99186815,519.0484786
90.59491721,539.4339818
91.19796628,559.9082219
91.86802079,582.470044
92.53807531,602.5472316
93.20812983,620.4947324
93.94518979,640.9291314
94.68224976,660.8311088
95.41930973,680.91056
96.1563697,700.9900113
96.89342967,720.8919886
97.69749509,743.1033904
98.43455505,763.0053677
99.23862047,783.8476851
